Index	Label
0	3
1	11
2	5
3	10
4	4
5	0
6	8
7	4
8	23
9	2
10	0
11	13
12	8
13	15
14	20
15	13
16	15
17	3
18	21
19	23
20	6
21	9
22	21
23	24
24	9
25	15
26	7
27	23
28	24
29	7
30	11
31	17
32	4
33	2
34	7
35	7
36	3
37	14
38	24
39	13
40	20
41	15
42	19
43	9
44	10
45	9
46	17
47	18
48	15
49	1
50	6
51	20
52	9
53	20
54	6
55	3
56	5
57	4
58	16
59	23
60	15
61	20
62	19
63	17
64	19
65	12
66	15
67	7
68	13
69	9
70	2
71	23
72	24
73	1
74	20
75	4
76	4
77	0
78	14
79	3
80	10
81	7
82	16
83	6
84	7
85	24
86	15
87	24
88	14
89	23
90	24
91	2
92	15
93	23
94	0
95	16
96	10
97	8
98	15
99	1
100	18
101	20
102	5
103	20
104	23
105	21
106	15
107	1
108	22
109	12
110	20
111	14
112	12
113	5
114	8
115	17
116	8
117	24
118	9
119	23
120	5
121	19
122	11
123	1
124	1
125	23
126	0
127	11
128	14
129	23
130	18
131	2
132	5
133	1
134	11
135	19
136	21
137	12
138	3
139	2
140	21
141	19
142	4
143	13
144	11
145	7
146	4
147	10
148	10
149	22
150	8
151	18
152	3
153	22
154	20
155	12
156	10
157	20
158	23
159	12
160	2
161	3
162	21
163	16
164	3
165	9
166	24
167	3
168	19
169	16
170	18
171	17
172	17
173	20
174	19
175	23
176	2
177	1
178	7
179	10
180	24
181	7
182	8
183	9
184	6
185	3
186	6
187	11
188	15
189	5
190	16
191	13
192	6
193	3
194	18
195	4
196	17
197	0
198	18
199	0
200	15
201	22
202	19
203	17
204	19
205	0
206	17
207	16
208	3
209	12
210	15
211	18
212	8
213	14
214	17
215	16
216	11
217	14
218	19
219	5
220	20
221	17
222	1
223	24
224	1
225	11
226	7
227	6
228	4
229	24
230	19
231	4
232	7
233	20
234	2
235	20
236	7
237	7
238	23
239	22
240	15
241	8
242	23
243	11
244	15
245	9
246	3
247	1
248	7
249	5
250	16
251	23
252	12
253	5
254	13
255	22
256	1
257	13
258	12
259	19
260	18
261	21
262	21
263	15
264	10
265	14
266	8
267	5
268	8
269	0
270	6
271	4
272	23
273	7
274	6
275	20
276	20
277	3
278	17
279	5
280	0
281	1
282	1
283	11
284	16
285	5
286	5
287	14
288	10
289	19
290	1
291	22
292	12
293	14
294	0
295	22
296	24
297	23
298	18
299	17
300	19
301	2
302	5
303	8
304	10
305	0
306	21
307	8
308	4
309	10
310	4
311	11
312	22
313	18
314	14
315	4
316	9
317	21
318	0
319	8
320	5
321	24
322	19
323	18
324	9
325	19
326	9
327	14
328	22
329	3
330	19
331	16
332	6
333	20
334	20
335	21
336	14
337	12
338	23
339	11
340	16
341	7
342	6
343	4
344	20
345	24
346	20
347	18
348	20
349	16
350	24
351	6
352	4
353	14
354	6
355	5
356	6
357	11
358	13
359	3
360	1
361	14
362	20
363	7
364	24
365	24
366	5
367	9
368	10
369	8
370	22
371	16
372	20
373	7
374	16
375	6
376	1
377	9
378	21
379	9
380	6
381	3
382	6
383	22
384	23
385	20
386	10
387	0
388	19
389	21
390	2
391	4
392	24
393	3
394	17
395	22
396	11
397	24
398	3
399	18
400	6
401	18
402	3
403	12
404	8
405	16
406	20
407	20
408	24
409	11
410	24
411	11
412	3
413	0
414	8
415	2
416	0
417	19
418	0
419	6
420	11
421	17
422	19
423	2
424	7
425	8
426	21
427	2
428	9
429	17
430	21
431	0
432	23
433	1
434	4
435	24
436	14
437	18
438	15
439	0
440	6
441	19
442	20
443	22
444	24
445	21
446	10
447	5
448	6
449	17
450	15
451	12
452	11
453	24
454	2
455	22
456	16
457	8
458	13
459	2
460	14
461	22
462	4
463	24
464	2
465	24
466	13
467	20
468	8
469	5
470	10
471	15
472	17
473	23
474	2
475	12
476	21
477	23
478	5
479	11
480	24
481	12
482	2
483	20
484	20
485	9
486	17
487	11
488	7
489	20
490	7
491	21
492	20
493	24
494	21
495	20
496	14
497	19
498	3
499	8
500	12
501	8
502	2
503	6
504	4
505	3
506	14
507	3
508	11
509	9
510	21
511	8
512	12
513	23
514	12
515	13
516	19
517	18
518	12
519	6
520	9
521	22
522	16
523	8
524	12
525	17
526	4
527	17
528	4
529	13
530	11
531	10
532	14
533	13
534	14
535	11
536	14
537	0
538	18
539	18
540	1
541	24
542	13
543	0
544	0
545	10
546	9
547	9
548	5
549	16
550	8
551	6
552	17
553	19
554	18
555	2
556	14
557	20
558	11
559	9
560	9
561	19
562	16
563	6
564	5
565	13
566	21
567	20
568	19
569	18
570	14
571	15
572	11
573	17
574	21
575	3
576	0
577	15
578	0
579	18
580	24
581	4
582	12
583	24
584	3
585	8
586	5
587	23
588	3
589	10
590	14
591	22
592	20
593	15
594	23
595	0
596	24
597	8
598	3
599	22
600	5
601	14
602	19
603	22
604	11
605	20
606	13
607	13
608	8
609	21
610	23
611	17
612	9
613	2
614	6
615	4
616	19
617	13
618	9
619	22
620	23
621	8
622	8
623	19
624	3
625	19
626	4
627	15
628	4
629	13
630	5
631	21
632	1
633	0
634	8
635	0
636	14
637	17
638	22
639	13
