Index	Label
0	2
1	2
2	4
3	1
4	4
5	2
6	4
7	0
8	3
9	2
10	3
11	4
12	5
13	0
14	3
15	3
16	1
17	0
18	0
19	5
20	3
21	4
22	1
23	2
24	3
25	1
26	0
27	1
28	2
29	2
30	2
31	1
32	3
33	1
34	5
35	3
36	4
37	0
38	2
39	3
40	4
41	2
42	1
43	0
44	3
45	1
46	5
47	3
48	3
49	5
50	2
51	5
52	3
53	4
54	5
55	4
56	4
57	0
58	0
59	0
60	5
61	5
62	0
63	1
64	1
65	1
66	4
67	3
68	2
69	0
70	4
71	4
72	3
73	0
74	2
75	3
76	5
77	5
78	2
79	1
80	0
81	2
82	0
83	3
84	3
85	5
86	1
87	5
88	3
89	2
90	3
91	5
92	5
93	3
94	3
95	3
96	3
97	1
98	1
99	4
100	5
101	1
102	3
103	0
104	5
105	2
106	3
107	5
108	3
109	2
110	5
111	2
112	0
113	2
114	2
115	5
116	5
117	1
118	5
119	2
120	4
121	0
122	4
123	5
124	4
125	5
126	2
127	4
128	1
129	0
130	4
131	3
132	4
133	2
134	0
135	5
136	1
137	3
138	0
139	3
140	3
141	3
142	5
143	4
144	2
145	5
146	2
147	4
148	2
149	3
150	3
151	4
152	5
153	0
154	2
155	0
156	4
157	2
158	0
159	4
160	2
161	1
162	1
163	1
164	3
165	5
166	3
167	1
168	4
169	1
170	0
171	2
172	5
173	2
174	5
175	4
176	2
177	3
178	1
179	2
180	2
181	1
182	1
183	1
184	5
185	2
186	1
187	0
188	4
189	2
190	1
191	4
192	3
193	0
194	1
195	1
196	2
197	2
198	0
199	1
200	1
201	0
202	2
203	1
204	0
205	3
206	2
207	4
208	5
209	1
210	4
211	3
212	4
213	4
214	4
215	5
216	2
217	4
218	4
219	0
220	5
221	4
222	2
223	0
224	1
225	2
226	2
227	3
228	5
229	1
230	3
231	4
232	4
233	3
234	2
235	1
236	0
237	3
238	5
239	5
240	0
241	1
242	0
243	5
244	3
245	1
246	3
247	3
248	4
249	3
250	2
251	1
252	3
253	3
254	3
255	5
256	5
257	2
258	0
259	4
260	2
261	1
262	5
263	2
264	3
265	1
266	3
267	5
268	0
269	5
270	5
271	0
272	5
273	0
274	4
275	2
276	3
277	3
278	3
279	3
280	1
281	1
282	1
283	5
284	2
285	4
286	2
287	4
288	5
289	5
290	2
291	3
292	4
293	3
294	4
295	5
296	4
297	5
298	2
299	2
300	2
301	1
302	3
303	5
304	5
305	3
306	3
307	5
308	3
309	4
310	2
311	2
312	4
313	5
314	5
315	4
316	4
317	1
318	0
319	5
320	5
321	3
322	1
323	4
324	4
325	1
326	2
327	1
328	0
329	2
330	5
331	2
332	4
333	5
334	5
335	4
336	3
337	4
338	2
339	3
340	0
341	1
342	3
343	2
344	0
345	3
346	4
347	1
348	1
349	0
350	5
351	0
352	3
353	1
354	5
355	3
356	1
357	0
358	5
359	5
360	1
361	5
362	1
363	0
364	3
365	1
366	0
367	0
368	1
369	3
370	1
371	1
372	3
373	0
374	3
375	2
376	0
377	4
378	5
379	3
380	1
381	5
382	5
383	3
384	4
385	4
386	2
387	2
388	5
389	4
390	3
391	4
392	3
393	2
394	2
395	2
396	4
397	3
398	1
399	2
400	2
401	0
402	3
403	5
404	4
405	2
406	2
407	0
408	2
409	4
410	4
411	5
412	0
413	4
414	2
415	1
416	0
417	4
418	4
419	2
420	0
421	4
422	2
423	3
424	4
425	0
426	5
427	4
428	5
429	5
430	1
431	5
432	4
433	5
434	0
435	0
436	5
437	3
438	5
439	0
440	4
441	0
442	3
443	3
444	3
445	4
446	4
447	2
448	5
449	2
450	1
451	4
452	5
453	1
454	3
455	3
456	3
457	1
458	0
459	2
460	4
461	2
462	5
463	3
464	5
465	4
466	0
467	3
468	5
469	3
470	5
471	0
472	1
473	3
474	0
475	2
476	0
477	4
478	4
479	2
480	4
481	2
482	2
483	5
484	4
485	0
486	4
487	2
488	5
489	1
490	5
491	3
492	3
493	3
494	5
495	5
496	1
497	0
498	2
499	1
500	0
501	5
502	2
503	1
504	5
505	0
506	0
507	3
508	0
509	3
510	3
511	4
512	0
513	0
514	2
515	2
516	5
517	2
518	5
519	2
520	5
521	1
522	4
523	5
524	0
525	5
526	4
527	3
528	5
529	3
530	4
531	4
532	1
533	3
534	0
535	2
536	1
537	2
538	5
539	4
540	3
541	5
542	0
543	1
544	2
545	2
