Index	Label
0	21
1	3
2	2
3	23
4	5
5	14
6	9
7	7
8	2
9	22
10	22
11	4
12	3
13	23
14	6
15	15
16	21
17	11
18	9
19	18
20	6
21	2
22	11
23	0
24	5
25	22
26	19
27	15
28	11
29	2
30	17
31	3
32	4
33	18
34	1
35	5
36	20
37	10
38	2
39	2
40	20
41	2
42	24
43	7
44	2
45	18
46	23
47	23
48	24
49	20
50	0
51	15
52	22
53	4
54	23
55	17
56	0
57	23
58	17
59	2
60	14
61	1
62	1
63	24
64	18
65	16
66	18
67	19
68	7
69	16
70	0
71	1
72	2
73	0
74	5
75	5
76	20
77	0
78	23
79	6
80	4
81	13
82	18
83	24
84	21
85	4
86	14
87	21
88	11
89	8
90	5
91	2
92	15
93	7
94	5
95	6
96	20
97	17
98	8
99	20
100	23
101	17
102	19
103	19
104	11
105	21
106	20
107	20
108	12
109	12
110	13
111	21
112	20
113	6
114	20
115	3
116	1
117	18
118	3
119	9
120	18
121	18
122	13
123	15
124	1
125	21
126	19
127	3
128	1
129	21
130	24
131	10
132	9
133	10
134	13
135	19
136	13
137	14
138	17
139	3
140	12
141	4
142	23
143	9
144	22
145	12
146	23
147	5
148	6
149	17
150	9
151	12
152	13
153	19
154	6
155	16
156	4
157	16
158	14
159	18
160	4
161	14
162	5
163	17
164	1
165	20
166	3
167	21
168	23
169	2
170	20
171	23
172	14
173	15
174	14
175	6
176	6
177	17
178	4
179	2
180	15
181	6
182	17
183	6
184	9
185	23
186	19
187	4
188	2
189	0
190	12
191	12
192	1
193	18
194	13
195	19
196	9
197	19
198	4
199	14
200	14
201	7
202	21
203	15
204	5
205	22
206	22
207	13
208	16
209	7
210	0
211	17
212	20
213	7
214	9
215	9
216	21
217	5
218	1
219	21
220	0
221	9
222	13
223	22
224	2
225	20
226	21
227	10
228	6
229	1
230	20
231	8
232	21
233	14
234	9
235	7
236	13
237	21
238	0
239	21
240	21
241	3
242	17
243	16
244	7
245	22
246	0
247	16
248	0
249	18
250	0
251	11
252	13
253	8
254	15
255	2
256	18
257	5
258	8
259	6
260	12
261	8
262	19
263	0
264	7
265	4
266	19
267	15
268	12
269	0
270	13
271	10
272	3
273	20
274	4
275	16
276	16
277	5
278	6
279	16
280	23
281	19
282	9
283	7
284	6
285	20
286	12
287	20
288	6
289	9
290	7
291	17
292	12
293	23
294	8
295	11
296	3
297	5
298	2
299	6
300	8
301	3
302	8
303	6
304	9
305	12
306	3
307	13
308	5
309	19
310	1
311	19
312	2
313	18
314	11
315	15
316	1
317	5
318	3
319	21
320	23
321	10
322	1
323	7
324	14
325	10
326	12
327	1
328	9
329	12
330	2
331	4
332	20
333	2
334	5
335	4
336	11
337	23
338	15
339	3
340	17
341	20
342	20
343	2
344	8
345	15
346	17
347	15
348	13
349	24
350	18
351	18
352	14
353	12
354	0
355	1
356	11
357	1
358	10
359	2
360	3
361	11
362	11
363	2
364	4
365	1
366	18
367	13
368	11
369	20
370	3
371	3
372	0
373	22
374	17
375	12
376	3
377	3
378	15
379	12
380	6
381	8
382	14
383	9
384	21
385	23
386	19
387	21
388	2
389	17
390	2
391	16
392	0
393	17
394	19
395	7
396	3
397	3
398	19
399	23
400	6
401	20
402	19
403	23
404	10
405	6
406	2
407	20
408	11
409	21
410	18
411	21
412	19
413	7
414	19
415	22
416	20
417	9
418	7
419	14
420	18
421	20
422	4
423	23
424	8
425	5
426	7
427	24
428	21
429	10
430	9
431	12
432	10
433	21
434	14
435	2
436	3
437	5
438	6
439	9
440	16
441	5
442	15
443	3
444	10
445	2
446	23
447	8
448	18
449	0
450	20
451	20
452	23
453	11
454	3
455	2
456	2
457	3
458	24
459	22
460	15
461	3
462	7
463	21
464	17
465	3
466	8
467	22
468	19
469	6
470	24
471	19
472	7
473	6
474	5
475	5
476	14
477	12
478	2
479	15
480	10
481	24
482	13
483	22
484	16
485	7
486	11
487	1
488	5
489	17
490	1
491	12
492	12
493	7
494	21
495	10
496	15
497	7
498	20
499	10
500	16
501	24
502	7
503	15
504	23
505	5
506	13
507	9
508	7
509	8
510	23
511	2
512	12
513	2
514	18
515	8
516	17
517	13
518	5
519	9
520	10
521	3
522	11
523	23
524	7
525	23
526	7
527	17
528	2
529	15
530	18
531	1
532	1
533	20
534	14
535	18
536	12
537	1
538	19
539	6
540	19
541	23
542	16
543	9
544	22
545	4
546	15
547	11
548	12
549	5
550	2
551	1
552	24
553	18
554	6
555	6
556	11
557	0
558	13
559	14
560	15
561	13
562	9
563	4
564	20
565	21
566	0
567	13
568	7
569	22
570	12
571	8
572	18
573	2
574	21
575	15
576	1
577	12
578	20
579	15
580	20
581	12
582	17
583	2
584	14
585	4
586	10
587	13
588	4
589	1
590	23
591	11
592	10
593	7
594	7
595	3
596	10
597	6
598	19
599	2
600	4
601	3
602	16
603	12
604	10
605	2
606	20
607	4
608	19
609	2
610	22
611	19
612	16
613	15
614	16
615	2
616	10
617	5
618	2
619	15
620	12
621	10
622	4
623	1
624	18
625	0
626	8
627	0
628	1
629	9
630	13
631	9
632	22
633	9
634	0
635	15
636	5
637	19
638	24
639	1
